DATA:,NODE #95,
,,
FROM:,01-05-2019 05:52,
TO:,04-09-2019 05:52,
,,
SENSOR:,Soil moisture,%
VALUE, TIMESTAMP,
3.8,16-05-2019 05:09,
3.8,16-05-2019 08:06,
3.8,16-05-2019 08:08,
3.8,16-05-2019 08:13,
3.8,16-05-2019 11:04,
3.8,16-05-2019 11:06,
3.8,16-05-2019 14:03,
3.8,16-05-2019 14:05,
3.8,16-05-2019 14:10,
4.4,16-05-2019 17:02,
4.4,16-05-2019 17:04,
4.4,16-05-2019 20:00,
3.8,16-05-2019 22:59,
3.8,16-05-2019 23:01,
3.8,16-05-2019 23:06,
3.8,17-05-2019 01:57,
3.8,17-05-2019 01:59,
3.8,17-05-2019 04:56,
3.8,17-05-2019 04:58,
3.8,17-05-2019 07:54,
3.8,17-05-2019 10:53,
3.8,17-05-2019 13:52,
3.8,17-05-2019 13:54,
3.8,17-05-2019 16:50,
3.8,17-05-2019 16:53,
3.8,17-05-2019 16:58,
3.8,17-05-2019 19:49,
3.8,17-05-2019 22:47,
3.8,17-05-2019 22:50,
3.8,17-05-2019 22:55,
3.8,18-05-2019 01:46,
3.8,18-05-2019 04:45,
3.8,18-05-2019 04:47,
3.8,18-05-2019 07:43,
3.8,18-05-2019 10:42,
4.2,18-05-2019 13:41,
4.2,18-05-2019 13:43,
4.4,18-05-2019 16:39,
3.3,18-05-2019 22:36,
3.3,19-05-2019 01:35,
3.3,19-05-2019 01:37,
3.3,19-05-2019 04:34,
3.3,19-05-2019 04:36,
3.3,19-05-2019 04:41,
3.3,19-05-2019 07:32,
3.3,19-05-2019 07:35,
3.3,19-05-2019 07:41,
3.3,19-05-2019 10:31,
3.8,19-05-2019 13:29,
3.8,19-05-2019 16:28,
3.8,19-05-2019 16:30,
3.8,19-05-2019 16:36,
4.2,19-05-2019 19:27,
3.8,19-05-2019 22:25,
3.8,20-05-2019 01:24,
3.8,20-05-2019 04:22,
3.8,20-05-2019 07:21,
3.8,20-05-2019 10:20,
3.8,20-05-2019 10:22,
3.9,20-05-2019 13:18,
3.9,20-05-2019 13:21,
4.4,20-05-2019 16:17,
4.4,20-05-2019 19:16,
4.4,20-05-2019 22:14,
4.4,21-05-2019 01:13,
3.8,21-05-2019 04:11,
3.8,21-05-2019 04:13,
3.8,21-05-2019 04:19,
3.8,21-05-2019 07:10,
3.8,21-05-2019 07:12,
3.8,21-05-2019 07:17,
3.8,21-05-2019 10:08,
3.8,21-05-2019 10:11,
4.4,21-05-2019 13:07,
4.4,21-05-2019 16:06,
4.4,21-05-2019 16:13,
5,21-05-2019 19:04,
5,21-05-2019 19:07,
5,21-05-2019 19:12,
4.4,21-05-2019 22:03,
4.4,21-05-2019 22:05,
4.4,21-05-2019 22:10,
4.4,22-05-2019 01:01,
4.2,22-05-2019 04:00,
3.8,22-05-2019 06:59,
3.8,22-05-2019 09:58,
3.8,22-05-2019 10:00,
3.8,22-05-2019 10:05,
4.4,22-05-2019 15:55,
4.4,22-05-2019 18:53,
4.4,22-05-2019 21:52,
4.4,23-05-2019 00:50,
3.8,23-05-2019 03:49,
3.8,23-05-2019 06:47,
3.8,23-05-2019 06:50,
3.8,23-05-2019 06:55,
3.8,23-05-2019 09:46,
3.8,23-05-2019 09:48,
2.7,23-05-2019 12:45,
2.7,23-05-2019 12:47,
2.7,23-05-2019 12:52,
15.8,23-05-2019 15:43,
17.3,23-05-2019 18:42,
17,23-05-2019 21:40,
16.8,24-05-2019 00:39,
16.8,24-05-2019 03:38,
15.8,24-05-2019 06:36,
15.8,24-05-2019 06:38,
15.8,24-05-2019 06:43,
15.8,24-05-2019 09:35,
15.8,24-05-2019 09:37,
15.8,24-05-2019 09:42,
14.8,24-05-2019 12:33,
14.8,24-05-2019 12:36,
14.8,24-05-2019 12:41,
14.8,24-05-2019 15:32,
0.2,24-05-2019 18:31,
0.2,24-05-2019 21:29,
0.2,24-05-2019 21:31,
0.2,24-05-2019 21:37,
0.2,25-05-2019 00:28,
0.2,25-05-2019 03:26,
0.2,25-05-2019 03:29,
0.2,25-05-2019 03:34,
0.2,25-05-2019 06:25,
0.2,25-05-2019 06:27,
0.2,25-05-2019 06:32,
0.2,25-05-2019 09:24,
0.2,25-05-2019 09:26,
0.2,25-05-2019 12:22,
0.2,25-05-2019 12:24,
0.2,25-05-2019 15:21,
0.2,25-05-2019 15:23,
0.4,25-05-2019 18:20,
0.4,25-05-2019 18:22,
0.4,25-05-2019 18:27,
0.2,25-05-2019 21:19,
0.2,25-05-2019 21:21,
0.2,26-05-2019 00:17,
0.2,26-05-2019 03:16,
0.2,26-05-2019 06:15,
0.2,26-05-2019 06:16,
