DATA:,NODE #93

FROM:,2019-02-14 09:49:36
TO:,2019-09-10 09:49:36

SENSOR:,Soil moisture,%
VALUE, TIMESTAMP
11.9,2019-03-07 20:44:22
11.1,2019-03-07 23:42:59
11.1,2019-03-08 02:41:36
11.1,2019-03-08 05:40:17
11.1,2019-03-08 05:42:20
11.1,2019-03-08 08:38:45
11.1,2019-03-08 11:37:28
11.1,2019-03-08 11:39:33
11.1,2019-03-08 14:36:00
11.7,2019-03-08 17:34:35
11.1,2019-03-08 20:33:10
11.1,2019-03-08 23:31:48
11.1,2019-03-09 02:30:23
11.1,2019-03-09 05:29:01
11.1,2019-03-09 08:27:40
11.1,2019-03-09 08:29:42
11.1,2019-03-09 11:26:08
11.1,2019-03-09 14:24:47
11.1,2019-03-09 17:23:20
11.1,2019-03-09 20:21:56
11.1,2019-03-09 23:20:32
10.3,2019-03-10 02:19:08
10.3,2019-03-10 05:17:46
10.3,2019-03-10 08:16:29
10.3,2019-03-10 08:18:33
10.3,2019-03-10 11:14:59
10.3,2019-03-10 14:13:31
10.7,2019-03-10 17:12:10
10.3,2019-03-10 20:10:43
10.3,2019-03-10 23:09:21
10.3,2019-03-11 02:07:55
10.3,2019-03-11 05:06:31
10.3,2019-03-11 08:05:16
10.3,2019-03-11 08:07:26
10.3,2019-03-11 08:12:28
10.3,2019-03-11 11:03:43
10.3,2019-03-11 14:02:26
10.3,2019-03-11 17:00:59
10.3,2019-03-11 17:03:04
10.3,2019-03-11 19:59:30
10.3,2019-03-11 22:58:06
9.5,2019-03-12 01:56:41
9.5,2019-03-12 04:55:19
9.5,2019-03-12 07:53:59
9.5,2019-03-12 07:56:07
9.5,2019-03-12 08:01:12
19.1,2019-03-12 10:52:29
17.9,2019-03-12 13:51:04
17.1,2019-03-12 16:49:43
16.8,2019-03-12 19:48:16
16,2019-03-12 22:46:54
15.1,2019-03-13 01:45:33
15.1,2019-03-13 01:47:38
15.1,2019-03-13 04:44:03
15.1,2019-03-13 07:42:43
15.1,2019-03-13 07:44:50
14.7,2019-03-13 10:41:14
14.6,2019-03-13 13:39:53
14.3,2019-03-13 16:38:27
14.3,2019-03-13 19:37:00
13.5,2019-03-13 22:35:38
